tailid,parentid,orgstructid,name_nb,name_nn,name_en,orgid,kommunenummer
27103,26582,39,Huseby kompetansensenter,Huseby kompetansensenter,Huseby Special Needs Resource Centre,974762773,
27109,,81,"Sex og samfunn, senter for ung seksualitet","Sex og samfunn, senter for ung seksualitet","Sex og samfunn, senter for ung seksualitet",913650786,
27008,,66,Agdenes kommune,Agdenes kommune,Agdenes Municipality,840098222,1622
27014,,59,Aust-Agder fylkeskommune,Aust-Agder fylkeskommune,Aust-Agder County Administration,,0900
27015,,59,Buskerud fylkeskommune,Buskerud fylkeskommune,Buskerud County Administration,964951373,0600
27016,,66,Aremark kommune,Aremark kommune,Aremark Municipality,940875560,0118
27017,,66,Askim kommune,Askim kommune,Askim Municipality,840894312,0124
27018,,66,Alvdal kommune,Alvdal kommune,Alvdal Municipality,939984194,0438
27019,,66,Etnedal kommune,Etnedal kommune,Etnedal Municipality,933038173,0541
26288,,66,Aukra kommune,Aukra kommune,Aukra Municipality,964981337,1547
26289,,66,Aure kommune,Aure kommune,Aure Municipality,988913898,1576
26290,,66,Aurskog-Høland kommune,Aurskog-Høland kommune,Aurskog-Høland Municipality,948164256,0221
41187,26056,37,NAV Gjesdal,NAV Gjesdal,NAV Gjesdal ,,
26293,,66,Balestrand kommune,Balestrand kommune,Balestrand Municipality,,1418
26294,,66,Ballangen kommune,Ballangen kommune,Ballangen Municipality,945152931,1854
26295,,66,Bamble kommune,Bamble kommune,Bamble Municipality,940244145,0814
26297,40662,36,"Arbeidstilsynet Midt-Norge, tilsynskontor Ålesund ","Arbeidstilsynet Midt-Norge, tilsynskontor Ålesund ","Labour Inspection Authority Midt-Norge, Ålesund office",,
26300,40948,19,Asker og Bærum tingrett,Asker og Bærum tingrett,Asker and Bærum District Court,,
26301,29872,39,Asker og Bærum politidistrikt,Asker og Bærum politidistrikt,Asker og Bærum Police District,947131613,
26302,26375,76,"Ambassaden i Thailand, Bangkok (Kambodsja, Myanmar)","Ambassaden i Thailand, Bangkok (Kambodsja, Myanmar)","Royal Norwegian Embassy in Thailand (Cambodia, Myanmar)",,
26303,26375,76,"Ambassaden i Kina, Beijing (Mongolia, Hong Kong, Macau)","Ambassaden i Kina, Beijing (Mongolia, Hong Kong, Macau)",Royal Norwegian Embassy in China (Mongolia),,
26304,26375,76,"Ambassaden i Serbia, Beograd (Montenegro)","Ambassaden i Serbia, Beograd (Montenegro)","Royal Norwegian Embassy in Serbia, Beograd (Montenegro)",,
26306,40948,19,Bergen tingrett,Bergen tingrett,Bergen District Court,,
26309,26375,76,"Ambassaden i Tyskland, Berlin","Ambassaden i Tyskland, Berlin",Royal Norwegian Embassy in Germany,,
26310,26375,76,"Ambassaden i Sveits, Bern (Liechtenstein)","Ambassaden i Sveits, Bern (Liechtenstein)",Royal Norwegian Embassy in Switzerland (Liechtenstein),,
